id,igra_id,ocena,komentar,datum_ocene
465,154,6,"Težko, a pošteno!",2024-04-21
466,155,7,Ni izstopalo,2024-01-15
467,155,9,Pogrešam boljšo optimizacijo,2024-03-04
468,155,7,"Težko, a pošteno!",2024-02-26
469,155,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-29
470,155,10,Vrhunska fizika in svoboda,2024-06-29
471,156,8,"Fantastična zgodba, popoln zaključek",2024-10-01
472,156,7,"Igra ima potencial, a je hroščata",2024-05-09
473,156,9,Pogrešam boljšo optimizacijo,2024-10-03
474,156,8,Vrhunska fizika in svoboda,2024-01-20
475,156,7,"Težko, a pošteno!",2024-08-15
476,157,9,"Zelo dober gameplay, a manjka globine",2024-07-09
477,157,8,Epsko doživetje – priporočam!,2024-06-23
478,157,8,"Temna, a zelo zadovoljiva izkušnja",2024-01-03
479,158,9,Igralno lepo uravnotežena,2024-07-02
480,158,8,Igralno lepo uravnotežena,2024-04-18
481,158,9,"Fantastična zgodba, popoln zaključek",2024-10-25
482,158,7,Vrhunska fizika in svoboda,2024-04-05
483,158,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-01-24
484,159,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-31
485,159,8,"Zelo dober gameplay, a manjka globine",2024-10-05
486,160,7,Odlična glasba in občutek igranja,2024-06-16
487,161,10,Adrenalinska vožnja kot nobena druga,2024-04-02
488,161,8,Vrhunska fizika in svoboda,2024-04-18
489,161,6,Pogrešam boljšo optimizacijo,2024-06-13
490,161,7,Izjemna avantura s čudovito grafiko,2024-05-20
491,161,9,"Težko, a pošteno!",2024-02-15
492,162,6,"Zelo dober gameplay, a manjka globine",2024-10-07
493,162,9,Odlična glasba in občutek igranja,2024-05-30
494,162,7,"Noro dobra akcija, brez premora!",2024-03-13
495,163,6,Ni izstopalo,2024-08-08
496,163,10,Adrenalinska vožnja kot nobena druga,2024-04-15
497,163,7,"Zelo dober gameplay, a manjka globine",2024-08-15
498,164,8,"Zelo dober gameplay, a manjka globine",2024-02-26
499,165,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-06-22
500,166,6,"Zabavna, čeprav nekoliko kratka",2024-04-03
501,166,10,Zabavno za več igralcev,2024-03-19
502,166,9,Igralno lepo uravnotežena,2024-05-23
503,167,8,Pogrešam boljšo optimizacijo,2024-09-21
504,167,8,"Noro dobra akcija, brez premora!",2024-08-05
505,167,9,Mojstrovina! Igral bom še večkrat,2024-03-04
506,167,9,"Noro dobra akcija, brez premora!",2024-01-06
507,167,7,Ni izstopalo,2024-09-30
508,168,6,Izjemna avantura s čudovito grafiko,2024-06-26
509,169,8,Epsko doživetje – priporočam!,2024-01-15
510,170,8,"Noro dobra akcija, brez premora!",2024-10-20
511,170,8,"Zabavna, čeprav nekoliko kratka",2024-07-08
512,170,10,"Fantastična zgodba, popoln zaključek",2024-06-02
513,171,8,"Igra ima potencial, a je hroščata",2024-03-12
514,172,10,Dober ambient in močan soundtrack,2024-09-15
515,172,9,Mojstrovina! Igral bom še večkrat,2024-10-16
516,173,10,Mojstrovina! Igral bom še večkrat,2024-07-17
517,173,10,"Zelo dober gameplay, a manjka globine",2024-02-09
518,174,8,Vrhunska fizika in svoboda,2024-01-04
519,175,6,Epsko doživetje – priporočam!,2024-04-06
520,175,9,Odlična glasba in občutek igranja,2024-02-12
521,175,8,"Fantastična zgodba, popoln zaključek",2024-08-07
522,175,6,Izjemna avantura s čudovito grafiko,2024-08-30
523,175,9,Vrhunska fizika in svoboda,2024-08-17
524,176,10,Zelo dobra za ljubitelje simulacij,2024-08-12
525,176,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-01
526,177,10,"Težko, a pošteno!",2024-08-16
527,177,10,"Preveč ponavljajoče, hitro postane dolgočasno",2024-04-08
528,177,10,Epsko doživetje – priporočam!,2024-02-09
529,177,7,"Temna, a zelo zadovoljiva izkušnja",2024-02-06
530,177,8,Igralno lepo uravnotežena,2024-06-01
531,178,10,"Težko, a pošteno!",2024-08-16
532,178,9,"Težko, a pošteno!",2024-06-01
533,178,8,Epsko doživetje – priporočam!,2024-03-11
534,179,8,Adrenalinska vožnja kot nobena druga,2024-02-26
535,179,10,"Preveč ponavljajoče, hitro postane dolgočasno",2024-02-09
536,179,10,"Noro dobra akcija, brez premora!",2024-01-03
537,179,7,Vrhunska fizika in svoboda,2024-03-05
538,180,6,Odlična glasba in občutek igranja,2024-04-07
539,180,6,Pogrešam boljšo optimizacijo,2024-10-12
540,180,6,Mojstrovina! Igral bom še večkrat,2024-04-21
541,180,8,"Zelo dober gameplay, a manjka globine",2024-08-31
542,180,6,"Težko, a pošteno!",2024-05-18
543,181,9,Mojstrovina! Igral bom še večkrat,2024-07-10
544,181,6,"Noro dobra akcija, brez premora!",2024-07-17
545,181,10,Zabavno za več igralcev,2024-01-11
546,181,7,Mojstrovina! Igral bom še večkrat,2024-04-29
547,182,6,Izjemna avantura s čudovito grafiko,2024-05-06
548,182,9,Mojstrovina! Igral bom še večkrat,2024-05-15
549,182,8,Odlična glasba in občutek igranja,2024-02-11
550,183,7,"Noro dobra akcija, brez premora!",2024-04-11
551,183,9,"Igra ima potencial, a je hroščata",2024-07-12
552,183,10,"Zelo dober gameplay, a manjka globine",2024-10-11
553,183,6,Ni izstopalo,2024-04-01
554,183,9,Zabavno za več igralcev,2024-07-09
555,184,6,Vrhunska fizika in svoboda,2024-05-27
556,185,7,"Noro dobra akcija, brez premora!",2024-01-29
557,185,9,Dober ambient in močan soundtrack,2024-03-23
558,185,10,Pogrešam boljšo optimizacijo,2024-06-05
559,185,8,"Zelo dober gameplay, a manjka globine",2024-04-12
560,185,8,Ni izstopalo,2024-09-23
561,186,8,"Zelo dober gameplay, a manjka globine",2024-07-28
562,186,6,Vrhunska fizika in svoboda,2024-07-07
563,186,6,Zelo dobra za ljubitelje simulacij,2024-01-30
564,186,7,Epsko doživetje – priporočam!,2024-04-02
565,186,7,Odlična glasba in občutek igranja,2024-01-21
566,187,7,"Noro dobra akcija, brez premora!",2024-08-12
567,188,10,Zabavno za več igralcev,2024-05-15
568,188,9,Mojstrovina! Igral bom še večkrat,2024-03-13
569,188,6,Zabavno za več igralcev,2024-03-04
570,188,6,Zelo dobra za ljubitelje simulacij,2024-06-11
571,188,6,"Težko, a pošteno!",2024-08-05
572,189,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-04-04
573,189,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-09-17
574,190,6,Zelo dobra za ljubitelje simulacij,2024-09-21
575,191,8,Zabavno za več igralcev,2024-03-08
576,191,8,Igralno lepo uravnotežena,2024-07-29
577,191,10,Igralno lepo uravnotežena,2024-10-18
578,191,10,Vrhunska fizika in svoboda,2024-09-21
579,192,10,Dober ambient in močan soundtrack,2024-01-23
580,192,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-20
581,192,10,"Zelo dober gameplay, a manjka globine",2024-07-18
582,193,9,Izjemna avantura s čudovito grafiko,2024-01-13
583,193,9,Epsko doživetje – priporočam!,2024-07-06
584,193,7,"Temna, a zelo zadovoljiva izkušnja",2024-09-21
585,193,7,Odlična glasba in občutek igranja,2024-07-01
586,194,6,Odlična glasba in občutek igranja,2024-05-21
587,194,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-10-07
588,195,9,"Temna, a zelo zadovoljiva izkušnja",2024-02-28
589,195,10,Epsko doživetje – priporočam!,2024-06-11
590,196,8,Zelo dobra za ljubitelje simulacij,2024-06-14
591,197,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-07-15
592,198,6,Odlična glasba in občutek igranja,2024-03-12
593,198,10,"Zabavna, čeprav nekoliko kratka",2024-08-09
594,198,10,Epsko doživetje – priporočam!,2024-01-02
595,198,6,"Igra ima potencial, a je hroščata",2024-05-28
596,198,7,Izjemna avantura s čudovito grafiko,2024-02-13
597,199,9,Pogrešam boljšo optimizacijo,2024-09-27
598,199,9,Zelo dobra za ljubitelje simulacij,2024-05-13
599,199,9,"Zabavna, čeprav nekoliko kratka",2024-02-06
600,199,8,"Temna, a zelo zadovoljiva izkušnja",2024-08-27
601,200,9,Dober ambient in močan soundtrack,2024-04-12
602,200,9,"Fantastična zgodba, popoln zaključek",2024-03-15
603,200,9,Vrhunska fizika in svoboda,2024-07-29
604,200,6,"Zelo dober gameplay, a manjka globine",2024-06-01
605,200,9,Ni izstopalo,2024-07-01
